Text1,Answer1,Text2,Answer2
Vem gör låten som spelas?,Scooter,,
Var är Max hamburgare grundat?,Gällivare,,
Nånting 2021,2021,,
Vad heter gorillan i Mario-spelen?,Donkey Kong,,
"Invasiv art som finns i norra Sverige, från Asien?",Mårdhund,,
Vilken frukt säljer Chiquita förutom Ananas?,Banan,,
Vad säger Gandalf för att öppna porten till Moria?,Mellon,,
Vad är Nya Zeelands nationalfågel?,Kiwi,,
Vad heter Fool's Gardens låt?,Lemon Tree,,
Vad heter SVT:s spel-app?,Duo,,
Vad sökes på fråga 1-10?,Hooja,,
Vem vann jerringpriset?,Ebba Andersson,,
Vem gör de fyra låtarna i pausen?,The Animals,,
Vad är anagramet 'bilda om ål'?,Mobillåda,,
Varifrån kommer citatet 'There is something rotten in the state of Denmark'?,Hamlet,,
Vad heter Bamses farmor?,Augusta Beata,,
Var heter stället där farmor bor?,Höga berget,,
Vad skämtade Ralf Edström att den albanske läkaren hette?,Doktor Alban,,
Vilken dokumentärfilmare släppte nyss en dokumentär om sig själv?,Tom Ahland,,
Vad heter Markus Lantz projekt?,Munin,Vad heter laboratoriet Lantz jobbar i?,Columbus
Vad heter huvudstaden i Uruguay?,Montevideo,,
Vilket lag vann herrarnas handbolls-EM?,Frankrike,,
Vilket killnamn var vanligast i Sverige 2023?,Hugo,Vilket tjejnamn var vanligast i Sverige 2023?,Elsa
Vilket land kommer Luis Figo från?,Portugal,Vilket bilmärke har modellen Sedan?,Ford
"Vilket programmeringsspråk är lika svårt att läsa som att skriva, jättesvårt?",Brainfuck,Vilket är det giftigaste programmeringsspråket?,Python
Vilken sorts möbel är Stockholm hos IKEA?,Säng,,
