Text1,Answer1,Correct1,Text2,Answer2,Correct2
Vem gör låten som spelas?,Scooter,Scooter,,,
Var är Max hamburgare grundat?,Gällivare,Gällivare,,,
Nånting 2021,2021,2021,,,
Vad heter gorillan i Mario-spelen?,Donkey Kong,Donkey Kong,,,
"Invasiv art som finns i norra Sverige, från Asien?",Mårdhund,Mårdhund,,,
Vilken frukt säljer Chiquita förutom Ananas?,Banan,Banan,,,
Vad säger Gandalf för att öppna porten till Moria?,Mellon,Mellon,,,
Vad är Nya Zeelands nationalfågel?,Kiwi,Kiwi,,,
Vad heter Fool's Gardens låt?,Lemon Tree,Lemon Tree,,,
Vad heter SVT:s spel-app?,Duo,Duo,,,
Vad sökes på fråga 1-10?,Hooja,Hooja,,,
Vem vann jerringpriset?,Ebba Andersson,Ebba Andersson,,,
Vem gör de fyra låtarna i pausen?,The Animals,The Animals,,,
Vad är anagramet 'bilda om ål'?,Mobillåda,Mobillåda,,,
Varifrån kommer citatet 'There is something rotten in the state of Denmark'?,Hamlet,Hamlet,,,
Vad heter Bamses farmor?,Augusta Beata,Augusta Beata,,,
Var heter stället där farmor bor?,Höga berget,Höga berget,,,
Vad skämtade Ralf Edström att den albanske läkaren hette?,Doktor Alban,Doktor Alban,,,
Vilken dokumentärfilmare släppte nyss en dokumentär om sig själv?,Tom Ahland,Tom Ahland,,,
Vad heter Markus Lantz projekt?,Munin,Munin,Vad heter laboratoriet Lantz jobbar i?,Columbus,Columbus
Vad heter huvudstaden i Uruguay?,Montevideo,Montevideo,,,
Vilket lag vann herrarnas handbolls-EM?,Frankrike,Frankrike,,,
Vilket killnamn var vanligast i Sverige 2023?,William,Hugo,Vilket tjejnamn var vanligast i Sverige 2023?,Alice,Elsa
Vilket land kommer Luis Figo från?,Portugal,Portugal,Vilket bilmärke har modellen Sedan?,Seat,Ford
"Vilket programmeringsspråk är lika svårt att läsa som att skriva, jättesvårt?",Brainfuck,Brainfuck,Vilket är det giftigaste programmeringsspråket?,Python,Python
Vilken sorts möbel är Stockholm hos IKEA?,Soffa,Säng,,,
